TranscriptCluster	Duke	UW
2980290	5.84472271	5.620810226
3766796	6.71259578	7.989076547
2980366	12.31915769	12.88134343
3766861	8.408741577	10.00851826
3373630	6.277022785	7.616926162
3766893	10.90654867	12.21068047
3373675	5.676544573	8.048078121
2980449	6.02886692	6.640552004
3766960	8.111404357	8.993563038
3373724	10.5549653	11.49725142
2980516	7.428680503	9.663774522
3373795	4.365160596	6.437982275
3373811	6.585748255	8.173963565
3767053	7.184158775	6.102693121
3373845	10.34626717	11.21822215
3373893	7.415014957	9.486387901
3767169	7.34107733	8.843860349
3373946	11.06518554	10.13720037
3373962	6.429021274	8.148207084
3767230	6.753038198	6.870977016
2587520	8.483280712	10.05898295
3767280	9.295301733	10.44890439
2980812	9.210483842	9.464297282
3374061	5.715597582	5.404896312
3374083	9.213074442	8.804658084
3767339	9.22411928	10.16529938
2587618	11.080656	11.85777758
2980870	6.151419473	4.720716243
3374189	4.301018723	4.889577376
2587730	6.73700121	6.386674164
3374213	5.005413462	3.988209011
3374218	5.660811703	6.566606141
3767465	6.753120455	4.58131308
3374224	5.856105517	5.231678162
2587747	8.234321681	10.76449014
3767480	5.381003841	5.985511815
2587790	5.204815648	5.871882245
3767531	3.800490971	5.200093642
3374308	2.529507392	2.280075387
2587841	6.035168597	7.23554518
3374324	4.568044269	3.71273113
3374402	4.900761771	6.224810772
2587937	5.73700121	6.42652587
2587961	5.518123579	5.617020231
3374460	5.821000937	4.992492009
3767709	4.022390008	4.732920382
3374517	5.207759154	5.163210218
2588066	9.735868221	11.02659491
2588127	12.53796577	11.89445022
3374698	10.12484377	10.02849548
3374746	9.966694338	9.549412477
3768015	10.00767556	9.996341665
3374793	4.792965944	7.164719247
2588319	8.962931422	10.57027317
3374833	8.806997424	7.870518845
3374856	10.02811499	11.11803478
3768103	10.71367863	10.63260752
3374874	5.278914948	4.412623475
3374890	5.131972166	5.679177923
2981676	5.736458759	7.489130782
3374934	4.523502365	6.760476013
3768280	5.852389056	8.237421907
3375041	7.732140285	7.398840581
3375049	9.007200408	10.57466921
3375091	5.756085911	5.063016785
2981874	10.9548597	9.551944687
2981912	9.307006653	11.03224322
3768412	6.605703961	5.157772691
3375192	6.534754201	6.348988347
2981976	9.557899221	9.668401642
3768474	7.718258866	8.512814192
3375245	10.10524068	11.7012718
2982028	7.103846417	6.761076461
3768535	5.326169689	4.610426441
3375307	8.004138988	10.17241917
2588827	10.08944717	10.94848161
2982076	5.726075075	4.796185872
3375340	8.649642402	10.07386039
2588889	6.033906389	8.394822788
3768627	6.399557783	4.199606915
3375396	5.311555791	4.26720867
2588965	5.355268277	6.384237502
3768703	4.311508565	3.345292754
2589011	6.099589248	6.223425124
3375496	6.558369816	5.88791676
2589017	5.498172666	5.996290816
2982270	4.843924819	4.550519014
3375518	12.34710365	11.19595655
3375545	10.91154367	11.70928489
3768791	3.974533901	3.648517597
2982319	10.54173794	10.6447666
3375582	7.626291282	10.15655041
3375612	3.939730587	8.069775551
2982381	11.79179576	12.84822453
3768880	4.319486071	3.52889591
3375648	12.9602735	13.39218324
2589214	9.015346052	11.28653273
3375708	5.21611724	4.828430178
3768969	4.872975237	7.00531764
3375735	5.787476869	9.175679281
2589255	7.517317036	8.075532631
2982524	4.873524089	4.567652932
2589291	6.10353698	5.301012014
3375805	12.46955088	13.12533113
3375840	8.052172682	9.803181284
3375862	9.661504672	11.4830079
2982630	5.311097082	5.44503582
3375894	6.715064873	8.622719308
3375935	6.114272272	8.846502718
3375951	8.88563842	11.52838736
2982730	4.845774798	5.309424815
3375990	8.728897515	8.362483039
3375999	11.74118466	11.36880108
3376023	9.447021735	10.13958972
3376046	5.308278955	5.054839796
3376054	7.155192655	9.304434987
3376121	5.976575006	8.357604785
3376155	9.090531931	10.84870639
3376193	8.074514802	9.837791377
3376235	8.183005073	11.20783389
2983030	6.847654977	9.386879907
3376317	5.783704809	5.779675587
3376326	5.247718687	6.697303537
2589868	5.399713712	4.913157497
3376367	5.853999389	5.629928727
2983138	5.203035691	6.693352207
2983142	5.640455359	5.75393697
3376410	3.480610565	4.409352464
2589929	7.494059533	7.174103428
3376433	4.47937124	4.374745068
